Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Stock_Quantity,Supplier_ID,Unit_Price,Total_Units_Sold,Margin_Percentage
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,5.51,74,SUP-044,10.1325,15,45.62
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,42.15,170,SUP-027,67.035,46,37.12
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,1.97,108,SUP-045,6.462000000000001,31,69.51
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,1.17,139,SUP-019,2.092857142857143,50,44.1
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,9.32,91,SUP-019,30.865,36,69.8
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,15.4,74,SUP-016,39.66,25,61.17
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,43.09,61,SUP-038,197.01399999999998,24,78.13
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,41.96,111,SUP-005,86.88428571428571,42,51.71
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,5.84,60,SUP-024,11.133333333333333,27,47.54
OFF-LA-10000134,Avery 511,Office Supplies,Labels,1.84,80,SUP-035,3.3816666666666664,24,45.59
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,11.01,156,SUP-046,22.904444444444447,57,51.93
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,1.7,76,SUP-023,7.503333333333334,16,77.34
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,1.93,90,SUP-024,9.85,35,80.41
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,1.53,113,SUP-011,2.2685714285714287,48,32.56
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,11.23,56,SUP-031,16.952,21,33.75
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,3.65,101,SUP-041,6.976666666666667,53,47.68
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,2.55,129,SUP-009,4.573333333333333,39,44.24
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,8.11,138,SUP-008,15.235,39,46.77
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,11.36,110,SUP-003,24.25,22,53.15
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,7.1,126,SUP-035,11.16777777777778,43,36.42
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,5.74,49,SUP-020,8.463333333333333,14,32.18
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,30.84,91,SUP-031,69.14166666666667,26,55.4
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,0.55,116,SUP-013,0.8714285714285713,44,36.89
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,4.41,59,SUP-046,9.784,22,54.93
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,30.25,108,SUP-027,44.626,31,32.21
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,14.03,80,SUP-034,24.915000000000003,34,43.69
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,8.92,114,SUP-025,12.532857142857143,47,28.83
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,8.43,72,SUP-029,16.588,19,49.18
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,4.61,117,SUP-049,6.465,31,28.69
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,1.21,148,SUP-010,2.1028571428571428,49,42.46
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,49.52,99,SUP-013,101.00125,39,50.97
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,7.29,123,SUP-001,28.262,27,74.21
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,18.64,220,SUP-001,39.144,64,52.38
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,2.62,98,SUP-011,4.694285714285714,32,44.19
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,2.39,145,SUP-009,3.957142857142857,42,39.6
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,1.48,162,SUP-008,4.339999999999999,47,65.9
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,3.5,62,SUP-015,8.656666666666666,12,59.57
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,8.88,163,SUP-001,29.34,44,69.73
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,121.98,75,SUP-007,278.77666666666664,25,56.24
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,154.52,79,SUP-019,355.03625,30,56.48
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,11.61,60,SUP-050,17.94666666666667,10,35.31
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,13.95,66,SUP-035,28.984,29,51.87
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,8.58,111,SUP-013,13.03857142857143,30,34.2
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,6.55,54,SUP-011,10.716666666666667,16,38.88
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,197.56,91,SUP-022,318.15250000000003,36,37.9
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,72.05,99,SUP-038,110.15799999999999,35,34.59
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,1.41,127,SUP-042,2.6566666666666667,45,46.93
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,16.78,134,SUP-016,32.74142857142857,52,48.75
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,19.74,201,SUP-047,36.082857142857144,88,45.29
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,19.74,222,SUP-033,36.082857142857144,88,45.29
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,43.72,97,SUP-022,77.284,23,43.43
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,7.38,100,SUP-005,14.438333333333333,36,48.89
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,12.58,124,SUP-032,25.187142857142856,56,50.05
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,12.58,146,SUP-021,25.187142857142856,56,50.05
OFF-FA-10002780,Staples,Office Supplies,Fasteners,2.62,99,SUP-030,3.768,27,30.47
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,2.87,133,SUP-019,9.522499999999999,39,69.86
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,20.68,51,SUP-042,67.098,21,69.18
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,1.61,82,SUP-026,2.1128571428571425,37,23.8
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,1.61,105,SUP-041,2.1128571428571425,37,23.8
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,1.13,115,SUP-028,2.6487499999999997,36,57.34
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,6.12,104,SUP-027,13.0,26,52.92
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,6.84,97,SUP-048,16.990000000000002,32,59.74
OFF-AR-10000940,Newell 343,Office Supplies,Art,1.17,150,SUP-011,1.9685714285714286,42,40.57
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,1.37,69,SUP-007,3.2983333333333333,31,58.46
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,12.01,122,SUP-009,23.372,35,48.61
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,112.62,92,SUP-040,210.0575,28,46.39
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,18.88,52,SUP-018,36.8825,14,48.81
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,16.47,152,SUP-025,21.52,43,23.47
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,20.52,66,SUP-029,27.996,23,26.7
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,15.96,97,SUP-049,40.507777777777775,42,60.6
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,24.35,37,SUP-011,39.48,4,38.32
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,51.46,99,SUP-035,78.735,27,34.64
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,7.19,59,SUP-009,13.9975,20,48.63
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,25.56,68,SUP-026,50.05714285714286,26,48.94
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,7.25,142,SUP-021,13.3,42,45.49
OFF-AR-10001547,Newell 311,Office Supplies,Art,1.12,116,SUP-008,2.06,41,45.63
OFF-LA-10002475,Avery 519,Office Supplies,Labels,3.67,63,SUP-039,8.331666666666665,24,55.95
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,78.1,64,SUP-001,106.99333333333334,16,27.0
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,3.54,89,SUP-041,6.38,18,44.51
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,8.35,110,SUP-034,10.486,36,20.37
OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,2.73,97,SUP-047,5.539999999999999,32,50.72
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,4.24,111,SUP-025,10.421428571428573,32,59.31
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,1.64,79,SUP-037,4.319999999999999,36,62.04
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,1086.31,72,SUP-002,1809.2725,13,39.96
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,47.21,172,SUP-022,105.605,47,55.3
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,120.79,236,SUP-001,272.5969230769231,79,55.69
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,4.75,50,SUP-045,6.5,23,26.92
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,68.45,111,SUP-034,111.17999999999999,32,38.43
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,18.0,134,SUP-005,37.55833333333333,36,52.07
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,10.68,111,SUP-038,24.924285714285713,34,57.15
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,10.68,97,SUP-046,24.924285714285713,34,57.15
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,23.19,77,SUP-017,36.38,26,36.26
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,29.78,135,SUP-029,48.474000000000004,55,38.57
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,52.32,100,SUP-045,81.918,35,36.13
OFF-LA-10003148,Avery 51,Office Supplies,Labels,2.77,59,SUP-004,7.632,24,63.71
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,70.9,107,SUP-012,332.99499999999995,29,78.71
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,28.94,156,SUP-017,41.003750000000004,49,29.42
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,3.33,57,SUP-038,7.373333333333334,10,54.84
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,1.59,72,SUP-046,3.0075,20,47.13
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,5.52,130,SUP-020,13.370000000000001,43,58.71
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,40.69,111,SUP-016,66.01666666666667,40,38.36
TEC-PH-10003273,AT&T TR1909W,Technology,Phones,68.37,82,SUP-029,113.8125,21,39.93
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,18.61,108,SUP-010,45.394,22,59.0
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,6.95,131,SUP-029,9.86,31,29.51
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,1.63,112,SUP-021,4.25625,34,61.7
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,11.14,130,SUP-041,36.81818181818182,63,69.74
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,6.58,150,SUP-036,18.90375,49,65.19
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,113.34,95,SUP-010,197.7266666666667,35,42.68
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,8.52,175,SUP-014,15.404999999999998,54,44.69
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,3.64,106,SUP-050,5.5125,29,33.97
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,2.62,170,SUP-031,5.12875,48,48.92
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,1.12,184,SUP-015,1.7671428571428573,54,36.62
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,1.3,36,SUP-002,2.183333333333333,9,40.46
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,2.8,32,SUP-009,4.63,10,39.52
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,1.09,190,SUP-045,1.8391666666666666,67,40.73
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,2.93,100,SUP-034,5.053333333333334,17,42.02
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,6.0,94,SUP-023,10.5175,20,42.95
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,49.39,107,SUP-016,77.37333333333333,24,36.17
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,3.31,58,SUP-016,3.9,15,15.13
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,60.35,94,SUP-023,68.38666666666667,19,11.75
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,3.46,70,SUP-008,10.664,29,67.55
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,40.82,48,SUP-011,58.77333333333333,18,30.55
