Product_ID,Product_Name,Category,Sub_Category,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Cost,Warehouse_Location,Last_Restock_Date,Supplier_ID
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,114,28,68,450.39,WH-B07,2025-12-20,SUP-034
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,74,18,44,4.15,WH-C20,2025-12-15,SUP-033
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,198,49,118,15.43,WH-A19,2026-02-09,SUP-022
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,207,51,124,0.7,WH-D15,2026-01-28,SUP-026
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,114,28,68,9.64,WH-C18,2025-12-09,SUP-030
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,191,47,114,0.86,WH-D14,2026-01-31,SUP-008
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,116,29,69,3.39,WH-D13,2025-12-13,SUP-024
OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,119,29,71,4.3,WH-C02,2026-01-17,SUP-032
TEC-PH-10004977,GE 30524EE4,Technology,Phones,132,33,79,121.46,WH-C04,2026-01-26,SUP-014
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,70,17,42,97.86,WH-D07,2025-11-19,SUP-019
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,39,9,23,19.07,WH-D09,2025-11-24,SUP-005
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,76,19,45,168.69,WH-C05,2025-12-13,SUP-031
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,166,41,99,51.72,WH-A08,2026-02-07,SUP-042
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,35,8,21,114.54,WH-A07,2026-02-10,SUP-041
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,128,32,76,18.64,WH-A03,2026-01-04,SUP-041
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,134,33,80,15.45,WH-C17,2025-12-01,SUP-025
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,106,26,63,29.78,WH-C20,2026-01-06,SUP-048
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,118,29,70,6.16,WH-C07,2026-01-03,SUP-022
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,185,46,111,2.58,WH-D17,2026-02-02,SUP-045
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,146,36,87,15.97,WH-B04,2026-01-07,SUP-034
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,130,32,78,8.16,WH-B02,2025-11-20,SUP-022
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,136,34,81,4.63,WH-C09,2025-12-23,SUP-022
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,96,24,57,2.35,WH-C01,2025-11-25,SUP-048
OFF-LA-10002762,Avery 485,Office Supplies,Labels,147,36,88,10.49,WH-B18,2026-02-02,SUP-015
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,87,21,52,1.76,WH-A05,2026-01-18,SUP-049
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,121,30,72,33.19,WH-A13,2025-11-16,SUP-047
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,70,17,42,1.09,WH-A20,2026-01-02,SUP-045
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,46,11,27,133.56,WH-C05,2025-12-27,SUP-032
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,102,25,61,14.76,WH-C10,2025-12-22,SUP-041
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,82,20,49,3.62,WH-B20,2025-12-31,SUP-015
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,127,31,76,23.76,WH-C07,2025-12-31,SUP-018
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,53,13,31,2.67,WH-A10,2025-11-13,SUP-022
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,99,24,59,6.42,WH-B01,2026-01-11,SUP-040
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,90,22,54,0.79,WH-B15,2026-01-15,SUP-033
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,79,19,47,7.49,WH-D19,2025-12-26,SUP-047
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,65,16,39,4.14,WH-A20,2025-12-24,SUP-044
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,112,28,67,17.2,WH-A03,2026-02-09,SUP-016
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,104,26,62,8.89,WH-B16,2025-12-10,SUP-019
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,201,50,120,19.74,WH-B11,2025-12-28,SUP-047
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,50,12,30,174.42,WH-D19,2026-01-25,SUP-036
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,111,27,66,27.5,WH-D15,2025-12-17,SUP-046
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,65,16,39,31.57,WH-C12,2026-02-06,SUP-045
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,182,45,109,2.47,WH-D10,2026-01-05,SUP-017
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,122,30,73,1.67,WH-D15,2026-01-21,SUP-044
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,157,39,94,73.59,WH-B02,2026-01-26,SUP-037
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,158,39,94,23.17,WH-C14,2025-12-08,SUP-023
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,103,25,61,47.42,WH-B09,2026-02-05,SUP-039
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,81,20,48,1.28,WH-A02,2025-12-07,SUP-041
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,41,10,24,9.53,WH-A11,2026-01-16,SUP-032
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,113,28,67,7.23,WH-B10,2025-12-14,SUP-025
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,74,18,44,5.51,WH-D03,2025-12-14,SUP-044
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,170,42,102,42.15,WH-A09,2025-11-30,SUP-027
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,108,27,64,1.97,WH-C20,2026-01-31,SUP-045
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,139,34,83,1.17,WH-C19,2026-01-19,SUP-019
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,91,22,54,9.32,WH-A05,2026-01-27,SUP-019
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,74,18,44,15.4,WH-C18,2025-12-21,SUP-016
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,61,15,36,43.09,WH-D09,2026-01-20,SUP-038
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,111,27,66,41.96,WH-C01,2025-12-28,SUP-005
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,60,15,36,5.84,WH-D20,2026-01-19,SUP-024
OFF-LA-10000134,Avery 511,Office Supplies,Labels,80,20,48,1.84,WH-B03,2025-12-30,SUP-035
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,156,39,93,11.01,WH-B07,2026-02-09,SUP-046
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,76,19,45,1.7,WH-B16,2025-12-09,SUP-023
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,90,22,54,1.93,WH-C18,2025-12-26,SUP-024
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,113,28,67,1.53,WH-D01,2026-02-07,SUP-011
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,56,14,33,11.23,WH-C19,2026-01-03,SUP-031
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,101,25,60,3.65,WH-C13,2025-12-07,SUP-041
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,129,32,77,2.55,WH-A17,2025-12-18,SUP-009
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,138,34,82,8.11,WH-D01,2026-01-11,SUP-008
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,110,27,66,11.36,WH-C04,2025-12-11,SUP-003
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,126,31,75,7.1,WH-B05,2026-02-07,SUP-035
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,49,12,29,5.74,WH-D07,2026-01-29,SUP-020
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,91,22,54,30.84,WH-A10,2025-11-27,SUP-031
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,116,29,69,0.55,WH-A01,2025-11-28,SUP-013
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,59,14,35,4.41,WH-A05,2026-02-10,SUP-046
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,108,27,64,30.25,WH-D14,2025-11-18,SUP-027
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,80,20,48,14.03,WH-B14,2026-01-20,SUP-034
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,114,28,68,8.92,WH-D17,2025-11-29,SUP-025
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,72,18,43,8.43,WH-A17,2025-11-23,SUP-029
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,117,29,70,4.61,WH-B04,2026-02-05,SUP-049
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,148,37,88,1.21,WH-D09,2026-01-06,SUP-010
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,99,24,59,49.52,WH-C12,2026-01-14,SUP-013
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,123,30,73,7.29,WH-A02,2026-01-06,SUP-001
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,220,55,132,18.64,WH-A04,2025-12-25,SUP-001
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,98,24,58,2.62,WH-C06,2026-02-09,SUP-011
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,145,36,87,2.39,WH-A14,2025-12-25,SUP-009
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,162,40,97,1.48,WH-D06,2026-02-04,SUP-008
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,62,15,37,3.5,WH-D18,2025-11-13,SUP-015
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,163,40,97,8.88,WH-A18,2026-01-21,SUP-001
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,75,18,45,121.98,WH-D06,2025-11-24,SUP-007
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,79,19,47,154.52,WH-D08,2026-01-14,SUP-019
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,60,15,36,11.61,WH-C20,2025-12-07,SUP-050
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,66,16,39,13.95,WH-B13,2025-11-16,SUP-035
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,111,27,66,8.58,WH-A05,2025-12-25,SUP-013
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,54,13,32,6.55,WH-C18,2026-01-09,SUP-011
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,91,22,54,197.56,WH-C15,2025-11-27,SUP-022
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,99,24,59,72.05,WH-A12,2026-02-02,SUP-038
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,127,31,76,1.41,WH-C10,2025-12-17,SUP-042
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,134,33,80,16.78,WH-B20,2025-12-31,SUP-016
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,222,55,133,19.74,WH-D13,2025-12-25,SUP-033
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,97,24,58,43.72,WH-A15,2025-12-18,SUP-022
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,100,25,60,7.38,WH-C16,2026-01-17,SUP-005
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,124,31,74,12.58,WH-B07,2025-12-31,SUP-032
OFF-FA-10002780,Staples,Office Supplies,Fasteners,99,24,59,2.62,WH-A13,2025-12-28,SUP-030
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,133,33,79,2.87,WH-B13,2026-02-10,SUP-019
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,51,12,30,20.68,WH-D20,2026-01-13,SUP-042
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,82,20,49,1.61,WH-A19,2025-12-01,SUP-026
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,115,28,69,1.13,WH-A01,2026-02-08,SUP-028
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,104,26,62,6.12,WH-A01,2025-11-26,SUP-027
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,97,24,58,6.84,WH-A10,2026-02-08,SUP-048
OFF-AR-10000940,Newell 343,Office Supplies,Art,150,37,90,1.17,WH-C17,2026-01-30,SUP-011
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,69,17,41,1.37,WH-A04,2026-01-10,SUP-007
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,122,30,73,12.01,WH-A17,2026-02-08,SUP-009
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,92,23,55,112.62,WH-B01,2026-01-15,SUP-040
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,52,13,31,18.88,WH-B12,2025-12-20,SUP-018
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,152,38,91,16.47,WH-A04,2025-12-10,SUP-025
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,66,16,39,20.52,WH-D20,2026-01-14,SUP-029
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,97,24,58,15.96,WH-B01,2025-12-25,SUP-049
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,37,9,22,24.35,WH-C08,2025-12-10,SUP-011
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,99,24,59,51.46,WH-B02,2025-12-13,SUP-035
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,59,14,35,7.19,WH-D08,2025-11-20,SUP-009
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,68,17,40,25.56,WH-B05,2026-02-06,SUP-026
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,142,35,85,7.25,WH-C16,2025-12-21,SUP-021
OFF-AR-10001547,Newell 311,Office Supplies,Art,116,29,69,1.12,WH-D14,2026-02-03,SUP-008
OFF-LA-10002475,Avery 519,Office Supplies,Labels,63,15,37,3.67,WH-B20,2026-01-09,SUP-039
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,64,16,38,78.1,WH-C06,2025-11-22,SUP-001
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,89,22,53,3.54,WH-A08,2025-11-26,SUP-041
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,110,27,66,8.35,WH-B20,2026-01-21,SUP-034
OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,97,24,58,2.73,WH-D07,2025-12-31,SUP-047
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,111,27,66,4.24,WH-D07,2025-12-10,SUP-025
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,79,19,47,1.64,WH-A08,2025-12-27,SUP-037
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,72,18,43,1086.31,WH-A01,2025-12-04,SUP-002
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,172,43,103,47.21,WH-D01,2025-11-30,SUP-022
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,236,59,141,120.79,WH-D17,2025-12-29,SUP-001
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,50,12,30,4.75,WH-B10,2026-01-25,SUP-045
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,111,27,66,68.45,WH-C03,2025-12-07,SUP-034
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,134,33,80,18.0,WH-A07,2026-01-18,SUP-005
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,111,27,66,10.68,WH-A14,2026-01-05,SUP-038
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,77,19,46,23.19,WH-D09,2025-12-24,SUP-017
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,135,33,81,29.78,WH-B02,2026-01-09,SUP-029
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,100,25,60,52.32,WH-C05,2026-01-07,SUP-045
OFF-LA-10003148,Avery 51,Office Supplies,Labels,59,14,35,2.77,WH-D14,2026-01-05,SUP-004
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,107,26,64,70.9,WH-A01,2025-11-16,SUP-012
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,156,39,93,28.94,WH-A12,2026-01-04,SUP-017
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,57,14,34,3.33,WH-C07,2025-11-27,SUP-038
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,72,18,43,1.59,WH-B10,2026-02-06,SUP-046
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,130,32,78,5.52,WH-D01,2026-02-02,SUP-020
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,111,27,66,40.69,WH-B15,2025-12-07,SUP-016
TEC-PH-10003273,AT&T TR1909W,Technology,Phones,82,20,49,68.37,WH-D20,2025-11-16,SUP-029
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,108,27,64,18.61,WH-C18,2026-01-21,SUP-010
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,131,32,78,6.95,WH-C13,2026-02-05,SUP-029
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,112,28,67,1.63,WH-B11,2025-12-30,SUP-021
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,130,32,78,11.14,WH-C01,2025-12-13,SUP-041
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,150,37,90,6.58,WH-D17,2026-01-25,SUP-036
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,95,23,57,113.34,WH-C04,2025-11-30,SUP-010
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,175,43,105,8.52,WH-C02,2026-01-24,SUP-014
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,106,26,63,3.64,WH-B11,2026-01-25,SUP-050
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,170,42,102,2.62,WH-A16,2026-02-01,SUP-031
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,184,46,110,1.12,WH-D12,2026-01-02,SUP-015
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,36,9,21,1.3,WH-D20,2026-02-02,SUP-002
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,32,8,19,2.8,WH-B05,2026-01-15,SUP-009
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,190,47,114,1.09,WH-D01,2026-02-05,SUP-045
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,100,25,60,2.93,WH-C09,2025-11-27,SUP-034
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,94,23,56,6.0,WH-B16,2025-12-10,SUP-023
